p_brand,p_type,p_size,supplier_cnt
"Brand#22",ECONOMY BURNISHED COPPER,49,140
"Brand#23",MEDIUM PLATED TIN,49,140
"Brand#23",PROMO ANODIZED NICKEL,49,140
"Brand#23",SMALL PLATED STEEL,23,140
"Brand#24",ECONOMY BURNISHED NICKEL,9,140
"Brand#25",ECONOMY ANODIZED NICKEL,19,140
"Brand#31",ECONOMY ANODIZED TIN,36,140
"Brand#31",ECONOMY BURNISHED TIN,45,140
"Brand#32",ECONOMY BURNISHED STEEL,45,140
"Brand#32",PROMO POLISHED BRASS,9,140
"Brand#33",LARGE POLISHED TIN,23,140
"Brand#33",MEDIUM BURNISHED COPPER,49,140
"Brand#34",ECONOMY ANODIZED TIN,23,140
"Brand#34",STANDARD POLISHED NICKEL,9,140
"Brand#35",MEDIUM ANODIZED STEEL,19,140
"Brand#35",SMALL BURNISHED STEEL,49,140
"Brand#42",PROMO ANODIZED STEEL,14,140
"Brand#43",STANDARD BURNISHED BRASS,23,140
"Brand#44",ECONOMY BRUSHED NICKEL,19,140
"Brand#44",MEDIUM BURNISHED BRASS,49,140
"Brand#52",ECONOMY PLATED TIN,19,140
"Brand#52",LARGE ANODIZED STEEL,23,140
"Brand#53",LARGE BRUSHED STEEL,23,140
"Brand#55",MEDIUM ANODIZED STEEL,19,140
"Brand#15",LARGE ANODIZED TIN,49,139
"Brand#34",MEDIUM BRUSHED STEEL,23,139
"Brand#41",PROMO POLISHED BRASS,45,139
"Brand#43",LARGE POLISHED TIN,45,139
"Brand#44",SMALL PLATED BRASS,49,139
"Brand#11",LARGE ANODIZED BRASS,49,136
"Brand#11",LARGE BURNISHED BRASS,19,136
"Brand#11",PROMO ANODIZED COPPER,19,136
"Brand#11",PROMO POLISHED NICKEL,3,136
"Brand#11",SMALL BRUSHED TIN,23,136
"Brand#11",STANDARD PLATED NICKEL,23,136
"Brand#12",MEDIUM BURNISHED NICKEL,49,136
"Brand#12",PROMO PLATED BRASS,45,136
"Brand#13",LARGE PLATED NICKEL,3,136
"Brand#13",SMALL POLISHED TIN,3,136
"Brand#14",ECONOMY BRUSHED STEEL,49,136
"Brand#14",PROMO POLISHED STEEL,36,136
"Brand#14",STANDARD PLATED TIN,3,136
"Brand#15",SMALL ANODIZED TIN,45,136
"Brand#15",STANDARD ANODIZED COPPER,19,136
"Brand#21",ECONOMY BRUSHED COPPER,36,136
"Brand#21",ECONOMY BRUSHED TIN,14,136
"Brand#21",ECONOMY BURNISHED STEEL,23,136
"Brand#21",STANDARD PLATED BRASS,9,136
"Brand#22",PROMO ANODIZED BRASS,45,136
"Brand#23",SMALL POLISHED TIN,23,136
"Brand#23",STANDARD BRUSHED BRASS,49,136
"Brand#23",STANDARD BRUSHED STEEL,19,136
"Brand#23",STANDARD PLATED BRASS,23,136
"Brand#24",ECONOMY ANODIZED STEEL,45,136
"Brand#24",MEDIUM BURNISHED STEEL,19,136
"Brand#25",LARGE ANODIZED TIN,45,136
"Brand#25",MEDIUM BURNISHED STEEL,9,136
"Brand#25",MEDIUM PLATED COPPER,23,136
"Brand#25",PROMO BURNISHED BRASS,36,136
"Brand#31",PROMO POLISHED NICKEL,9,136
"Brand#31",SMALL BURNISHED NICKEL,23,136
"Brand#31",STANDARD POLISHED TIN,23,136
"Brand#32",PROMO ANODIZED NICKEL,9,136
"Brand#32",PROMO PLATED NICKEL,14,136
"Brand#32",SMALL BRUSHED BRASS,9,136
"Brand#33",PROMO ANODIZED TIN,49,136
"Brand#33",SMALL PLATED TIN,14,136
"Brand#33",STANDARD ANODIZED STEEL,14,136
"Brand#34",ECONOMY POLISHED STEEL,9,136
"Brand#34",LARGE BRUSHED NICKEL,23,136
"Brand#34",LARGE PLATED NICKEL,36,136
"Brand#34",PROMO ANODIZED BRASS,23,136
"Brand#34",PROMO PLATED BRASS,36,136
"Brand#34",SMALL BURNISHED BRASS,9,136
"Brand#34",SMALL PLATED NICKEL,23,136
"Brand#34",STANDARD ANODIZED NICKEL,14,136
"Brand#35",ECONOMY PLATED STEEL,9,136
"Brand#41",PROMO PLATED TIN,49,136
"Brand#41",SMALL ANODIZED NICKEL,19,136
"Brand#41",SMALL BRUSHED NICKEL,9,136
"Brand#41",SMALL POLISHED TIN,36,136
"Brand#42",SMALL ANODIZED TIN,9,136
"Brand#42",STANDARD POLISHED STEEL,14,136
"Brand#43",LARGE PLATED COPPER,14,136
"Brand#43",PROMO ANODIZED COPPER,36,136
"Brand#43",PROMO PLATED TIN,19,136
"Brand#44",ECONOMY BRUSHED TIN,45,136
"Brand#44",ECONOMY BURNISHED TIN,14,136
"Brand#44",STANDARD PLATED NICKEL,36,136
"Brand#52",ECONOMY ANODIZED BRASS,14,136
"Brand#52",MEDIUM BURNISHED NICKEL,49,136
"Brand#52",PROMO BRUSHED STEEL,45,136
"Brand#52",SMALL BURNISHED NICKEL,19,136
"Brand#53",ECONOMY ANODIZED COPPER,23,136
"Brand#53",PROMO BURNISHED BRASS,36,136
"Brand#53",PROMO POLISHED TIN,19,136
"Brand#54",ECONOMY POLISHED NICKEL,3,136
"Brand#55",LARGE BRUSHED STEEL,45,136
"Brand#55",MEDIUM PLATED COPPER,9,136
"Brand#55",STANDARD ANODIZED STEEL,23,136
"Brand#11",PROMO PLATED COPPER,36,135
"Brand#14",STANDARD BURNISHED NICKEL,23,135
"Brand#21",MEDIUM BRUSHED NICKEL,14,135
"Brand#22",PROMO ANODIZED NICKEL,23,135
"Brand#22",SMALL POLISHED NICKEL,14,135
"Brand#23",PROMO POLISHED STEEL,23,135
"Brand#23",STANDARD POLISHED BRASS,9,135
"Brand#24",STANDARD POLISHED COPPER,23,135
"Brand#32",MEDIUM ANODIZED TIN,49,135
"Brand#32",STANDARD BURNISHED NICKEL,19,135
"Brand#34",LARGE BRUSHED STEEL,19,135
"Brand#34",MEDIUM BRUSHED BRASS,23,135
"Brand#55",MEDIUM PLATED NICKEL,14,135
"Brand#32",PROMO BRUSHED TIN,19,134
"Brand#11",ECONOMY BRUSHED BRASS,14,132
"Brand#11",ECONOMY BRUSHED BRASS,19,132
"Brand#11",STANDARD BRUSHED TIN,23,132
"Brand#12",ECONOMY BRUSHED BRASS,14,132
"Brand#12",LARGE BURNISHED TIN,45,132
"Brand#12",MEDIUM PLATED NICKEL,14,132
"Brand#12",SMALL PLATED BRASS,3,132
"Brand#12",STANDARD POLISHED COPPER,14,132
"Brand#12",STANDARD POLISHED COPPER,23,132
"Brand#13",LARGE BURNISHED NICKEL,49,132
"Brand#13",LARGE POLISHED NICKEL,36,132
"Brand#13",SMALL PLATED COPPER,23,132
"Brand#14",ECONOMY POLISHED COPPER,36,132
"Brand#14",PROMO ANODIZED TIN,49,132
"Brand#14",PROMO BURNISHED BRASS,9,132
"Brand#15",ECONOMY BURNISHED BRASS,23,132
"Brand#15",ECONOMY BURNISHED COPPER,23,132
"Brand#15",ECONOMY BURNISHED NICKEL,45,132
"Brand#15",LARGE BURNISHED COPPER,19,132
"Brand#15",MEDIUM ANODIZED COPPER,9,132
"Brand#15",MEDIUM BRUSHED STEEL,36,132
"Brand#15",PROMO ANODIZED NICKEL,3,132
"Brand#15",PROMO ANODIZED TIN,36,132
"Brand#15",SMALL POLISHED NICKEL,14,132
"Brand#21",ECONOMY ANODIZED STEEL,9,132
"Brand#21",ECONOMY POLISHED COPPER,45,132
"Brand#21",LARGE BURNISHED COPPER,36,132
"Brand#21",SMALL POLISHED STEEL,36,132
"Brand#21",STANDARD POLISHED BRASS,9,132
"Brand#21",STANDARD POLISHED BRASS,49,132
"Brand#22",MEDIUM ANODIZED NICKEL,3,132
"Brand#22",PROMO ANODIZED STEEL,23,132
"Brand#22",PROMO BURNISHED TIN,9,132
"Brand#22",PROMO POLISHED COPPER,3,132
"Brand#22",SMALL ANODIZED NICKEL,36,132
"Brand#22",SMALL PLATED BRASS,49,132
"Brand#22",SMALL POLISHED NICKEL,36,132
"Brand#23",ECONOMY ANODIZED TIN,14,132
"Brand#23",MEDIUM PLATED STEEL,23,132
"Brand#23",PROMO BRUSHED TIN,49,132
"Brand#23",PROMO BURNISHED STEEL,14,132
"Brand#23",SMALL ANODIZED STEEL,9,132
"Brand#23",SMALL BRUSHED COPPER,23,132
"Brand#24",ECONOMY ANODIZED STEEL,36,132
"Brand#24",ECONOMY POLISHED BRASS,36,132
"Brand#24",MEDIUM BRUSHED TIN,49,132
"Brand#24",SMALL BURNISHED BRASS,3,132
"Brand#24",SMALL BURNISHED COPPER,19,132
"Brand#24",SMALL PLATED TIN,49,132
"Brand#24",SMALL POLISHED NICKEL,23,132
"Brand#24",STANDARD PLATED NICKEL,36,132
"Brand#25",MEDIUM ANODIZED COPPER,36,132
"Brand#25",STANDARD ANODIZED COPPER,19,132
"Brand#25",STANDARD BURNISHED BRASS,23,132
"Brand#25",STANDARD PLATED COPPER,45,132
"Brand#31",ECONOMY BRUSHED COPPER,3,132
"Brand#31",MEDIUM ANODIZED BRASS,49,132
"Brand#31",MEDIUM BURNISHED STEEL,9,132
"Brand#31",MEDIUM PLATED STEEL,3,132
"Brand#32",SMALL BURNISHED COPPER,9,132
"Brand#32",STANDARD BRUSHED TIN,36,132
"Brand#33",ECONOMY PLATED COPPER,45,132
"Brand#33",STANDARD PLATED NICKEL,9,132
"Brand#33",STANDARD PLATED STEEL,45,132
"Brand#34",MEDIUM BRUSHED STEEL,45,132
"Brand#34",MEDIUM BURNISHED COPPER,3,132
"Brand#35",LARGE ANODIZED TIN,19,132
"Brand#35",LARGE BURNISHED BRASS,9,132
"Brand#35",LARGE PLATED NICKEL,23,132
"Brand#35",LARGE POLISHED STEEL,45,132
"Brand#35",PROMO BURNISHED NICKEL,49,132
"Brand#35",PROMO POLISHED NICKEL,19,132
"Brand#35",STANDARD PLATED BRASS,19,132
"Brand#41",PROMO PLATED STEEL,23,132
"Brand#41",PROMO POLISHED STEEL,36,132
"Brand#41",SMALL BURNISHED NICKEL,19,132
"Brand#42",ECONOMY BRUSHED NICKEL,45,132
"Brand#42",LARGE POLISHED TIN,3,132
"Brand#42",PROMO ANODIZED BRASS,45,132
"Brand#42",PROMO ANODIZED STEEL,9,132
"Brand#42",SMALL BRUSHED BRASS,23,132
"Brand#43",ECONOMY PLATED NICKEL,36,132
"Brand#43",MEDIUM BURNISHED COPPER,14,132
"Brand#43",MEDIUM BURNISHED COPPER,49,132
"Brand#43",PROMO PLATED COPPER,49,132
"Brand#43",SMALL BURNISHED COPPER,36,132
"Brand#43",SMALL PLATED STEEL,3,132
"Brand#43",SMALL POLISHED BRASS,9,132
"Brand#43",STANDARD ANODIZED COPPER,9,132
"Brand#43",STANDARD POLISHED TIN,23,132
"Brand#44",ECONOMY BRUSHED TIN,49,132
"Brand#44",PROMO BRUSHED BRASS,49,132
"Brand#44",STANDARD ANODIZED NICKEL,9,132
"Brand#51",ECONOMY POLISHED TIN,36,132
"Brand#51",LARGE PLATED NICKEL,36,132
"Brand#51",MEDIUM ANODIZED BRASS,23,132
"Brand#51",MEDIUM PLATED STEEL,23,132
"Brand#51",PROMO BURNISHED COPPER,9,132
"Brand#51",PROMO PLATED COPPER,9,132
"Brand#51",SMALL BRUSHED TIN,3,132
"Brand#52",ECONOMY POLISHED BRASS,36,132
"Brand#52",LARGE PLATED TIN,36,132
"Brand#52",MEDIUM ANODIZED STEEL,19,132
"Brand#52",STANDARD POLISHED STEEL,36,132
"Brand#53",LARGE POLISHED TIN,9,132
"Brand#53",PROMO BRUSHED COPPER,23,132
"Brand#53",SMALL ANODIZED STEEL,19,132
"Brand#53",STANDARD PLATED COPPER,3,132
"Brand#54",LARGE BRUSHED COPPER,19,132
"Brand#54",LARGE BURNISHED BRASS,49,132
"Brand#54",SMALL BURNISHED STEEL,14,132
"Brand#54",STANDARD BRUSHED COPPER,45,132
"Brand#55",MEDIUM ANODIZED COPPER,3,132
"Brand#55",MEDIUM PLATED TIN,14,132
"Brand#55",SMALL BRUSHED STEEL,3,132
"Brand#55",SMALL BURNISHED BRASS,9,132
"Brand#11",STANDARD BURNISHED TIN,23,131
"Brand#12",STANDARD PLATED STEEL,9,131
"Brand#13",SMALL BRUSHED BRASS,23,131
"Brand#15",ECONOMY ANODIZED TIN,14,131
"Brand#15",PROMO POLISHED COPPER,49,131
"Brand#21",ECONOMY PLATED NICKEL,19,131
"Brand#22",STANDARD POLISHED STEEL,14,131
"Brand#23",LARGE POLISHED COPPER,49,131
"Brand#32",MEDIUM BRUSHED COPPER,14,131
"Brand#51",PROMO BRUSHED NICKEL,9,131
"Brand#53",SMALL PLATED STEEL,23,131
"Brand#34",PROMO ANODIZED TIN,45,129
"Brand#11",ECONOMY BURNISHED TIN,19,128
"Brand#11",LARGE ANODIZED STEEL,9,128
"Brand#11",LARGE BURNISHED NICKEL,36,128
"Brand#11",MEDIUM BRUSHED BRASS,3,128
"Brand#11",PROMO POLISHED BRASS,3,128
"Brand#11",SMALL BURNISHED COPPER,23,128
"Brand#11",SMALL BURNISHED COPPER,36,128
"Brand#11",STANDARD PLATED COPPER,45,128
"Brand#12",LARGE BRUSHED STEEL,19,128
"Brand#12",MEDIUM ANODIZED BRASS,45,128
"Brand#12",MEDIUM PLATED COPPER,19,128
"Brand#12",SMALL BRUSHED TIN,14,128
"Brand#13",ECONOMY BURNISHED TIN,19,128
"Brand#13",LARGE BRUSHED NICKEL,23,128
"Brand#13",LARGE BURNISHED BRASS,9,128
"Brand#13",MEDIUM BRUSHED STEEL,23,128
"Brand#13",MEDIUM PLATED BRASS,9,128
"Brand#13",PROMO PLATED COPPER,19,128
"Brand#13",PROMO POLISHED BRASS,23,128
"Brand#13",SMALL ANODIZED NICKEL,49,128
"Brand#13",STANDARD ANODIZED NICKEL,9,128
"Brand#13",STANDARD PLATED BRASS,23,128
"Brand#13",STANDARD POLISHED COPPER,9,128
"Brand#14",ECONOMY ANODIZED COPPER,3,128
"Brand#14",ECONOMY PLATED STEEL,14,128
"Brand#14",MEDIUM ANODIZED NICKEL,36,128
"Brand#14",MEDIUM BURNISHED BRASS,23,128
"Brand#14",PROMO ANODIZED NICKEL,45,128
"Brand#14",STANDARD BRUSHED TIN,36,128
"Brand#14",STANDARD POLISHED NICKEL,19,128
"Brand#15",ECONOMY ANODIZED STEEL,23,128
"Brand#15",ECONOMY ANODIZED TIN,49,128
"Brand#15",LARGE BURNISHED BRASS,3,128
"Brand#15",MEDIUM ANODIZED BRASS,9,128
"Brand#15",MEDIUM BRUSHED TIN,23,128
"Brand#15",MEDIUM PLATED COPPER,9,128
"Brand#15",MEDIUM PLATED COPPER,49,128
"Brand#15",MEDIUM PLATED TIN,45,128
"Brand#15",PROMO ANODIZED NICKEL,36,128
"Brand#15",SMALL BRUSHED COPPER,36,128
"Brand#21",ECONOMY BURNISHED STEEL,3,128
"Brand#21",ECONOMY PLATED BRASS,23,128
"Brand#21",ECONOMY PLATED BRASS,49,128
"Brand#21",ECONOMY PLATED COPPER,3,128
"Brand#21",ECONOMY PLATED TIN,36,128
"Brand#21",LARGE ANODIZED BRASS,45,128
"Brand#21",LARGE BURNISHED BRASS,19,128
"Brand#21",MEDIUM BRUSHED STEEL,19,128
"Brand#21",PROMO BRUSHED STEEL,9,128
"Brand#21",SMALL PLATED BRASS,49,128
"Brand#22",ECONOMY BRUSHED COPPER,14,128
"Brand#22",LARGE PLATED BRASS,9,128
"Brand#22",PROMO POLISHED TIN,23,128
"Brand#22",STANDARD BURNISHED COPPER,14,128
"Brand#22",STANDARD POLISHED NICKEL,36,128
"Brand#23",ECONOMY ANODIZED STEEL,3,128
"Brand#23",ECONOMY POLISHED BRASS,3,128
"Brand#23",LARGE PLATED STEEL,9,128
"Brand#23",MEDIUM ANODIZED TIN,3,128
"Brand#23",MEDIUM BRUSHED NICKEL,19,128
"Brand#23",MEDIUM BURNISHED STEEL,14,128
"Brand#23",PROMO PLATED BRASS,23,128
"Brand#23",PROMO PLATED TIN,45,128
"Brand#23",SMALL PLATED TIN,23,128
"Brand#24",ECONOMY BRUSHED NICKEL,19,128
"Brand#24",ECONOMY PLATED COPPER,36,128
"Brand#24",ECONOMY POLISHED BRASS,23,128
"Brand#24",ECONOMY POLISHED TIN,36,128
"Brand#24",LARGE ANODIZED COPPER,3,128
"Brand#24",LARGE POLISHED BRASS,36,128
"Brand#24",LARGE POLISHED TIN,14,128
"Brand#24",MEDIUM ANODIZED BRASS,23,128
"Brand#24",MEDIUM ANODIZED TIN,36,128
"Brand#24",MEDIUM PLATED STEEL,45,128
"Brand#24",PROMO BRUSHED STEEL,19,128
"Brand#24",PROMO BURNISHED TIN,36,128
"Brand#24",SMALL ANODIZED NICKEL,23,128
"Brand#24",SMALL PLATED TIN,14,128
"Brand#25",ECONOMY POLISHED NICKEL,14,128
"Brand#25",ECONOMY POLISHED STEEL,14,128
"Brand#25",LARGE ANODIZED BRASS,45,128
"Brand#25",MEDIUM BURNISHED NICKEL,9,128
"Brand#25",PROMO PLATED NICKEL,19,128
"Brand#25",STANDARD BURNISHED COPPER,23,128
"Brand#25",STANDARD PLATED COPPER,49,128
"Brand#31",ECONOMY BURNISHED TIN,3,128
"Brand#31",MEDIUM BRUSHED BRASS,36,128
"Brand#31",PROMO BRUSHED NICKEL,49,128
"Brand#31",STANDARD BRUSHED COPPER,3,128
"Brand#32",ECONOMY BRUSHED STEEL,9,128
"Brand#32",LARGE POLISHED COPPER,45,128
"Brand#32",PROMO BURNISHED NICKEL,49,128
"Brand#32",PROMO POLISHED TIN,19,128
"Brand#32",STANDARD PLATED BRASS,3,128
"Brand#33",ECONOMY BRUSHED NICKEL,19,128
"Brand#33",LARGE PLATED STEEL,14,128
"Brand#33",PROMO BURNISHED TIN,49,128
"Brand#33",SMALL BRUSHED BRASS,3,128
"Brand#33",SMALL BURNISHED TIN,45,128
"Brand#33",STANDARD BRUSHED NICKEL,14,128
"Brand#33",STANDARD BRUSHED NICKEL,36,128
"Brand#33",STANDARD PLATED TIN,14,128
"Brand#33",STANDARD POLISHED NICKEL,19,128
"Brand#34",ECONOMY PLATED BRASS,9,128
"Brand#34",ECONOMY PLATED TIN,23,128
"Brand#34",LARGE BRUSHED BRASS,19,128
"Brand#34",LARGE POLISHED COPPER,49,128
"Brand#34",PROMO PLATED BRASS,3,128
"Brand#34",STANDARD ANODIZED BRASS,14,128
"Brand#34",STANDARD BURNISHED TIN,36,128
"Brand#34",STANDARD PLATED BRASS,14,128
"Brand#34",STANDARD POLISHED STEEL,23,128
"Brand#35",LARGE BURNISHED NICKEL,3,128
"Brand#35",LARGE PLATED STEEL,49,128
"Brand#35",PROMO BURNISHED NICKEL,9,128
"Brand#35",SMALL PLATED STEEL,3,128
"Brand#35",STANDARD BRUSHED BRASS,49,128
"Brand#35",STANDARD POLISHED STEEL,14,128
"Brand#41",PROMO BURNISHED TIN,36,128
"Brand#41",SMALL BRUSHED NICKEL,36,128
"Brand#42",ECONOMY POLISHED BRASS,36,128
"Brand#42",MEDIUM BURNISHED NICKEL,36,128
"Brand#42",MEDIUM BURNISHED STEEL,45,128
"Brand#42",MEDIUM PLATED BRASS,49,128
"Brand#42",MEDIUM PLATED TIN,14,128
"Brand#42",SMALL PLATED TIN,14,128
"Brand#42",STANDARD BURNISHED STEEL,23,128
"Brand#42",STANDARD POLISHED NICKEL,9,128
"Brand#43",ECONOMY BURNISHED TIN,14,128
"Brand#43",ECONOMY BURNISHED TIN,49,128
"Brand#43",LARGE PLATED NICKEL,45,128
"Brand#43",PROMO BURNISHED NICKEL,49,128
"Brand#43",SMALL ANODIZED NICKEL,19,128
"Brand#43",SMALL BURNISHED TIN,19,128
"Brand#43",STANDARD BRUSHED TIN,23,128
"Brand#43",STANDARD POLISHED COPPER,45,128
"Brand#44",LARGE PLATED BRASS,14,128
"Brand#44",LARGE POLISHED STEEL,3,128
"Brand#44",PROMO BRUSHED BRASS,14,128
"Brand#44",PROMO POLISHED NICKEL,49,128
"Brand#44",SMALL BURNISHED COPPER,14,128
"Brand#44",STANDARD BURNISHED NICKEL,49,128
"Brand#51",ECONOMY BRUSHED BRASS,36,128
"Brand#51",ECONOMY POLISHED NICKEL,49,128
"Brand#51",STANDARD ANODIZED TIN,19,128
"Brand#52",LARGE ANODIZED COPPER,14,128
"Brand#52",LARGE POLISHED TIN,3,128
"Brand#52",MEDIUM BRUSHED BRASS,36,128
"Brand#52",MEDIUM BRUSHED STEEL,49,128
"Brand#52",PROMO ANODIZED STEEL,9,128
"Brand#52",PROMO BURNISHED TIN,36,128
"Brand#52",SMALL BRUSHED NICKEL,19,128
"Brand#52",SMALL BURNISHED BRASS,49,128
"Brand#52",SMALL BURNISHED STEEL,19,128
"Brand#52",SMALL POLISHED BRASS,36,128
"Brand#52",STANDARD ANODIZED BRASS,9,128
"Brand#52",STANDARD PLATED NICKEL,45,128
"Brand#53",MEDIUM ANODIZED TIN,23,128
"Brand#53",PROMO PLATED TIN,23,128
"Brand#53",PROMO PLATED TIN,49,128
"Brand#53",PROMO POLISHED COPPER,9,128
"Brand#53",SMALL BRUSHED BRASS,36,128
"Brand#53",SMALL BRUSHED STEEL,14,128
"Brand#53",STANDARD BURNISHED COPPER,23,128
"Brand#53",STANDARD BURNISHED TIN,19,128
"Brand#54",ECONOMY POLISHED BRASS,49,128
"Brand#54",ECONOMY POLISHED COPPER,14,128
"Brand#54",PROMO ANODIZED NICKEL,9,128
"Brand#54",PROMO ANODIZED STEEL,9,128
"Brand#54",PROMO PLATED BRASS,23,128
"Brand#54",SMALL ANODIZED COPPER,49,128
"Brand#54",SMALL BURNISHED TIN,49,128
"Brand#54",STANDARD ANODIZED TIN,23,128
"Brand#55",ECONOMY ANODIZED STEEL,14,128
"Brand#55",ECONOMY POLISHED BRASS,14,128
"Brand#55",LARGE BURNISHED STEEL,3,128
"Brand#55",MEDIUM ANODIZED NICKEL,49,128
"Brand#55",PROMO POLISHED COPPER,14,128
"Brand#55",SMALL POLISHED COPPER,45,128
"Brand#55",STANDARD ANODIZED TIN,49,128
"Brand#55",STANDARD BURNISHED TIN,49,128
"Brand#13",PROMO ANODIZED STEEL,45,127
"Brand#13",PROMO PLATED BRASS,45,127
"Brand#21",STANDARD BURNISHED COPPER,9,127
"Brand#23",MEDIUM ANODIZED TIN,19,127
"Brand#25",ECONOMY BRUSHED COPPER,19,127
"Brand#32",MEDIUM PLATED BRASS,49,127
"Brand#34",MEDIUM BRUSHED COPPER,36,127
"Brand#34",MEDIUM BRUSHED COPPER,45,127
"Brand#34",MEDIUM PLATED NICKEL,19,127
"Brand#34",SMALL BURNISHED TIN,49,127
"Brand#41",LARGE BRUSHED NICKEL,49,127
"Brand#41",SMALL PLATED COPPER,3,127
"Brand#44",MEDIUM PLATED NICKEL,9,127
"Brand#44",SMALL BURNISHED TIN,36,127
"Brand#52",ECONOMY BURNISHED COPPER,14,127
"Brand#54",ECONOMY BRUSHED TIN,45,127
"Brand#54",LARGE POLISHED BRASS,49,127
"Brand#11",MEDIUM PLATED STEEL,45,126
"Brand#11",ECONOMY PLATED STEEL,19,124
"Brand#11",ECONOMY POLISHED BRASS,9,124
"Brand#11",LARGE ANODIZED COPPER,23,124
"Brand#11",LARGE ANODIZED COPPER,36,124
"Brand#11",LARGE ANODIZED TIN,14,124
"Brand#11",LARGE BRUSHED COPPER,49,124
"Brand#11",LARGE BRUSHED NICKEL,3,124
"Brand#11",MEDIUM BURNISHED NICKEL,3,124
"Brand#11",PROMO ANODIZED NICKEL,49,124
"Brand#11",PROMO BRUSHED BRASS,36,124
"Brand#11",PROMO PLATED STEEL,36,124
"Brand#11",STANDARD PLATED NICKEL,14,124
"Brand#11",STANDARD POLISHED NICKEL,45,124
"Brand#12",ECONOMY BRUSHED COPPER,14,124
"Brand#12",ECONOMY BURNISHED BRASS,49,124
"Brand#12",ECONOMY BURNISHED TIN,14,124
"Brand#12",MEDIUM ANODIZED NICKEL,14,124
"Brand#12",SMALL ANODIZED NICKEL,9,124
"Brand#12",SMALL BRUSHED BRASS,36,124
"Brand#12",SMALL BRUSHED BRASS,45,124
"Brand#12",STANDARD ANODIZED COPPER,19,124
