nation,o_year,sum_profit
SAUDI ARABIA,1997,921356880.6603993
SAUDI ARABIA,1996,922550061.2270012
SAUDI ARABIA,1995,920200616.3262001
SAUDI ARABIA,1994,920848972.1360998
SAUDI ARABIA,1993,930561566.6398008
SAUDI ARABIA,1992,934049723.3878992
UNITED KINGDOM,1998,543428902.3474001
UNITED KINGDOM,1997,925721656.5101004
UNITED KINGDOM,1996,933971315.5917006
UNITED KINGDOM,1995,945461787.6206993
UNITED KINGDOM,1994,930158535.2976997
UNITED KINGDOM,1993,930831194.9427001
UNITED KINGDOM,1992,949988867.8548993
UNITED STATES,1998,555648544.9538001
UNITED STATES,1997,949218373.8017004
UNITED STATES,1996,943952027.8025992
UNITED STATES,1995,948216470.1470991
UNITED STATES,1994,948960304.7403994
UNITED STATES,1993,952030856.9776992
UNITED STATES,1992,943859951.7701999
VIETNAM,1998,539315658.8895998
VIETNAM,1997,912004694.8871
VIETNAM,1996,924591644.3145005
VIETNAM,1995,917805309.9721005
VIETNAM,1994,920585630.3534995
VIETNAM,1993,916428988.0287001
VIETNAM,1992,921584609.1639993
