s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9937.08,"Supplier#000025137",FRANCE,975132,"Manufacturer#4","stIIQZedYRXAju36LbGb09,qUxhkWtV",16-206-728-7034, ironic courts around the quickly unusual packages wake 
9936.01,"Supplier#000064630",FRANCE,714620,"Manufacturer#2",cW3kNfLGiN2n7w84pIHEpTd4sewgpnW,16-782-698-5265,. furiously express ideas boost across the regular requests. furiously final ideas haggle fl
9936.0,"Supplier#000042253",ROMANIA,142252,"Manufacturer#4",r9uqFbAWydd4tcgzcS RI Y,29-148-772-1827,lar packages haggle. blithely ir
9935.2,"Supplier#000174776",RUSSIA,2124765,"Manufacturer#4",Rz31OZrSdqhEgpKjd4yijrZZKKUMW,32-668-400-3407,ymptotes. permanent requests cajole quickly. carefully final requests haggle slyly silent hockey p
9934.88,"Supplier#000096830",FRANCE,3396797,"Manufacturer#4",Kr0JO9SLORE9w jyf0SmllIw6z4TwSWMM qbLG,16-418-502-3708,"theodolites sublate. quickly unusual theodolites according to the regular, ironic"
9934.83,"Supplier#000078481",ROMANIA,2228469,"Manufacturer#5","3wkHaa3DWXPLkiepZqaJENQMNSh5AZC,kd",29-775-625-5152,as silent deposits. express accounts integrate quickly. b
9934.71,"Supplier#000096911",FRANCE,2996882,"Manufacturer#4",K fHkOpRIJlUIEa39Bjh2jg5MDjQVq0uM4,16-792-250-5750,kly express theodolites. quickly regular instruc
9934.44,"Supplier#000009762",GERMANY,3209761,"Manufacturer#3","sszbnlE,8rTVV1n5PUnUaX",17-758-315-1893,"uriously unusual foxes. bold, ironic foxes according to the blithely final "
9929.35,"Supplier#000135022",RUSSIA,285020,"Manufacturer#5",CH4xnqvroJI0krhT93 ro6lTnlR,32-883-643-5111,lly asymptotes. slyly special asymptotes boost before the express requests. careful
9929.35,"Supplier#000135022",RUSSIA,2285010,"Manufacturer#5",CH4xnqvroJI0krhT93 ro6lTnlR,32-883-643-5111,lly asymptotes. slyly special asymptotes boost before the express requests. careful
9926.99,"Supplier#000017392",FRANCE,2617391,"Manufacturer#2","B2Y,iyELRorfExkZudlfE4X7bdWyLh4PCzzN",16-811-216-7183,mptotes against the furiously ironic deposits unwind slyly acr
9926.96,"Supplier#000071401",FRANCE,1121385,"Manufacturer#3",bhqh6ZAf9666VtAWnj3hEBIkV3aXjlYZJqCsfjD,16-215-366-6911,tions. carefully ironic asymptotes are slyly according to the ir
9926.96,"Supplier#000071401",FRANCE,2021390,"Manufacturer#2",bhqh6ZAf9666VtAWnj3hEBIkV3aXjlYZJqCsfjD,16-215-366-6911,tions. carefully ironic asymptotes are slyly according to the ir
9926.51,"Supplier#000043352",GERMANY,1393345,"Manufacturer#5",pJkKXzwyGKSAgOivJ2ajUNWhNBVLI,17-815-200-9734,"s are pending, silent deposits. furiously"
9926.19,"Supplier#000094768",RUSSIA,3944710,"Manufacturer#4",meaiJMbVVyVM 5sn,32-383-402-7125,"ly unusual, final accounts. even, regular instructions haggle quickly"
9924.12,"Supplier#000151995",FRANCE,351994,"Manufacturer#2",pfRsBxR0DxOlGS,16-826-989-9369,press accounts affix fluffily according to the quickly bold instructions? careful ideas cajole furi
9924.12,"Supplier#000151995",FRANCE,3901975,"Manufacturer#3",pfRsBxR0DxOlGS,16-826-989-9369,press accounts affix fluffily according to the quickly bold instructions? careful ideas cajole furi
9923.75,"Supplier#000010115",FRANCE,910106,"Manufacturer#4",rLjG0fYchI,16-900-191-4200, wake slyly. carefully even 
9923.41,"Supplier#000187778",RUSSIA,237774,"Manufacturer#5","1I1L44Difw,Ij fK",32-680-759-6037,es. final dolphins affix blithely carefully iro
9922.58,"Supplier#000028796",GERMANY,1478774,"Manufacturer#1",Yrc47oWZtuyjnTjd,17-655-371-3535,kages. silently ironic dolphins nag slyly af
9919.27,"Supplier#000010796",FRANCE,3810795,"Manufacturer#5","Xe1ijxfR1xAzzbHBthBewYJO JBnMd,iSIvbspk5",16-675-328-4232,theodolites. platelets nag even pinto beans. ideas breach slyly silent a
9918.91,"Supplier#000077117",ROMANIA,2277116,"Manufacturer#5",GWhCCTzamXl,29-878-358-3293,"final, pending asymptotes! blit"
9917.64,"Supplier#000114896",FRANCE,714895,"Manufacturer#3",GJGQfqWGJq5pVhqGyeYlFLKQ1M,16-526-518-8884,"uffily unusual accounts integrate slyly bold, pending foxes. carefully final "
9917.49,"Supplier#000008408",ROMANIA,2508383,"Manufacturer#5",Sc9u9mcc2bLTWfHspMScTrbdaut,29-475-811-8890, ruthless deposits boost even account
9916.83,"Supplier#000196107",RUSSIA,2996106,"Manufacturer#1",xJDHIhOcW xVCuRipQ3,32-595-217-1701,long the furiously final instructions are 
9915.78,"Supplier#000023264",FRANCE,3673209,"Manufacturer#5",HVuYUsH521ADkA,16-610-856-7160,"y. fluffily final accounts sleep furiously from the fluffily regular accounts. special, bold depos"
9909.05,"Supplier#000172948",ROMANIA,2222914,"Manufacturer#5","L2BIN0LrxziinZw1NZkpil,Nk",29-954-458-4052,press requests. never regular warthogs cajole slyly car
9907.5,"Supplier#000141502",FRANCE,1641485,"Manufacturer#5",3OMgo04h5urmL3UWVde9hDDEP5MAHxUpV,16-206-984-2548, slyly silent accounts along
9906.4,"Supplier#000034606",GERMANY,334603,"Manufacturer#2","GmYdPKqaGYA LXhMeiSFwVykskwKsnHdb,",17-182-872-6512,ously regular accounts. careful deposits haggle quick
9906.4,"Supplier#000034606",GERMANY,3784587,"Manufacturer#1","GmYdPKqaGYA LXhMeiSFwVykskwKsnHdb,",17-182-872-6512,ously regular accounts. careful deposits haggle quick
9905.25,"Supplier#000190575",RUSSIA,2990574,"Manufacturer#4",7SSPhfIAUjGz8t,32-752-650-4988,eposits nag. carefully pending accounts haggle. unusual accounts 
9903.42,"Supplier#000003807",GERMANY,3603806,"Manufacturer#5",ot3nvn3kdvL9YcxMp8fhWN CsorSKs0LN4,17-850-427-8587, the quickly final deposits nod carefully ideas. regula
9903.16,"Supplier#000175361",GERMANY,625351,"Manufacturer#2",3dDaPgOS3j iNNtuyAP3xQVIBgUVQ KtdYbT,17-824-634-4747,telets cajole carefully. quickly even packages use furiously. special ideas are silen
9902.41,"Supplier#000181964",UNITED KINGDOM,2831921,"Manufacturer#1",DyZuzATOUrcKbDFuckyu,33-473-707-1746," among the blithe, even packages. depen"
9900.5,"Supplier#000059434",UNITED KINGDOM,59433,"Manufacturer#3",j8s26GZ4EF6vzq9oIRsspI2zt Usst,33-696-691-9604, regular foxes throughout the p
9898.83,"Supplier#000100938",UNITED KINGDOM,3800899,"Manufacturer#4","j4Ts,alJ7TDxOnPyS2sndG1Q5",33-288-876-4267,l packages under the quickly regular asymptotes are slyly ironic deposits. even packag
9892.95,"Supplier#000096633",ROMANIA,2546596,"Manufacturer#3","MAaGSNl3FDAdcjWVA1HHKV8mtg2Q,wRPu0qZ2",29-164-653-2948, accounts wake quickly ironic orbits. slyly quick deposits about
9892.95,"Supplier#000096633",ROMANIA,3046617,"Manufacturer#4","MAaGSNl3FDAdcjWVA1HHKV8mtg2Q,wRPu0qZ2",29-164-653-2948, accounts wake quickly ironic orbits. slyly quick deposits about
9889.4,"Supplier#000105412",GERMANY,155411,"Manufacturer#5","oOVjodi8Smy,ywCb4n5kCa7Hbts",17-358-544-1896,kly regular packages sleep slyly according to the express foxes
9888.74,"Supplier#000173215",RUSSIA,2673188,"Manufacturer#5",TMSpfs597jGsKyTCdgqGefznW2sMBA5rS0EBbAqy,32-606-598-5831, regular platelets-- carefully silent packages unwind blithely around the quickly special platele
9886.25,"Supplier#000080290",FRANCE,230288,"Manufacturer#5",eaUObuSDCD1PWs1,16-676-561-2239,use even courts. carefully final asymptotes use fur
9885.96,"Supplier#000115375",GERMANY,2165344,"Manufacturer#3",vRJ X XzbiXOOcq14bVpukaK,17-888-842-1262,fully special deposits sleep arou
9880.46,"Supplier#000182611",ROMANIA,1982610,"Manufacturer#1",NV0ccbRa5CAfnzZAVWHTAWjFwhM1o7,29-883-876-2991,cuses. quickly enticing accounts haggle blithely over the carefully ironic foxes. 
9876.34,"Supplier#000103271",GERMANY,903270,"Manufacturer#3",VhVRxdlM2r7YQDPFu0MhL8MPsNEIjAJiRUrGw,17-552-392-3041,s. furiously special asymptotes sleep along t
9876.34,"Supplier#000103271",GERMANY,2303270,"Manufacturer#3",VhVRxdlM2r7YQDPFu0MhL8MPsNEIjAJiRUrGw,17-552-392-3041,s. furiously special asymptotes sleep along t
9875.72,"Supplier#000073719",FRANCE,1123703,"Manufacturer#5","PiOw jtgZx,FXj iaUxNmxVEyVo77IjYqACcjk",16-823-901-3878," wake slyly about the ironic, ironic accounts. fluffily express "
9875.72,"Supplier#000073719",FRANCE,1823709,"Manufacturer#1","PiOw jtgZx,FXj iaUxNmxVEyVo77IjYqACcjk",16-823-901-3878," wake slyly about the ironic, ironic accounts. fluffily express "
9871.77,"Supplier#000181219",ROMANIA,1731210,"Manufacturer#1",fZi0qU3iR3lNU0 pKe,29-752-878-4291,ctions. special requests use slyly. carefully bold excuses serve furiously. carefully final
9871.31,"Supplier#000146462",FRANCE,2046441,"Manufacturer#5","kuNNljXN c5TRYiFc,lNAdk7HL6UcQ7hrDcAoBg",16-429-194-5887,accounts. final packages haggle; fluffily bold instructions according to the ironi
9868.44,"Supplier#000062507",ROMANIA,1862506,"Manufacturer#5",1dePPGFWYYK,29-895-360-4525,"ependencies solve slyly. slyly unusual accounts detect blithe, express requests. furiously "
9867.54,"Supplier#000170314",ROMANIA,3220265,"Manufacturer#4",PIK39Z1BCRzIePnBHn3lLjX3DRIzizI1pxu,29-524-335-3254,"l, ironic requests believe slowly after the blithely regular accounts. ironic brai"
9865.69,"Supplier#000011713",ROMANIA,1461691,"Manufacturer#4",z21Y9930sRTsTgOIo omLTfWderX82DVdPVsgs,29-368-999-1073,ccounts haggle quickly. blithely even accounts boost according to the blithely express pack
9865.33,"Supplier#000028701",FRANCE,1928682,"Manufacturer#1",DuASgHUbjQ Tnq1yQ4RPRs5L IIm,16-503-296-3985,egular dinos haggle ideas. furiou
